hour,hour_of_day,day,outdoor_temp,outdoor_rh,solar_global,total_hvac_kwh,total_lighting_kwh,total_equipment_kwh,total_energy_kwh,grid_carbon_intensity,carbon_emissions_g,north_perimeter_temp,north_perimeter_humidity,north_perimeter_pmv,north_perimeter_ppd,north_perimeter_hvac_kwh,north_perimeter_hvac_mode,north_perimeter_occupancy,east_perimeter_temp,east_perimeter_humidity,east_perimeter_pmv,east_perimeter_ppd,east_perimeter_hvac_kwh,east_perimeter_hvac_mode,east_perimeter_occupancy,south_perimeter_temp,south_perimeter_humidity,south_perimeter_pmv,south_perimeter_ppd,south_perimeter_hvac_kwh,south_perimeter_hvac_mode,south_perimeter_occupancy,west_perimeter_temp,west_perimeter_humidity,west_perimeter_pmv,west_perimeter_ppd,west_perimeter_hvac_kwh,west_perimeter_hvac_mode,west_perimeter_occupancy,core_temp,core_humidity,core_pmv,core_ppd,core_hvac_kwh,core_hvac_mode,core_occupancy
145,1,7,17.2,67.2,0.0,0.764,0.6,2.16,3.524,260,916.2,24.3,69.1,0.3,6.9,0.295,cooling,0.0,23.8,69.0,0.12,5.3,0.0,free_float,0.0,24.0,69.2,0.19,5.7,0.014,cooling,0.0,23.8,68.6,0.12,5.3,0.011,cooling,0.0,24.2,68.5,0.25,6.3,0.443,cooling,0.0
146,2,7,17.7,73.1,0.0,0.933,0.6,2.16,3.693,250,923.2,24.1,69.6,0.23,6.1,0.447,cooling,0.0,23.8,68.4,0.12,5.3,0.0,free_float,0.0,24.1,70.0,0.22,6.0,0.026,cooling,0.0,23.8,69.8,0.12,5.3,0.0,free_float,0.0,24.2,70.0,0.25,6.3,0.46,cooling,0.0
147,3,7,18.4,74.4,0.0,0.848,0.6,2.16,3.608,240,865.9,24.0,69.4,0.19,5.7,0.182,cooling,0.0,23.8,70.0,0.13,5.4,0.0,free_float,0.0,23.8,70.0,0.13,5.4,0.182,cooling,0.0,23.8,70.0,0.13,5.4,0.0,free_float,0.0,24.0,70.0,0.19,5.7,0.484,cooling,0.0
148,4,7,17.5,75.2,0.0,0.053,0.6,2.16,2.813,250,703.2,24.0,70.0,0.2,5.8,0.021,cooling,0.0,23.8,70.0,0.12,5.3,0.0,free_float,0.0,23.8,70.0,0.12,5.3,0.0,free_float,0.0,23.8,70.0,0.12,5.3,0.0,free_float,0.0,23.9,70.0,0.16,5.5,0.032,cooling,0.0
149,5,7,16.9,70.4,0.0,0.0,0.6,2.16,2.76,270,745.2,24.0,70.0,0.18,5.7,0.0,free_float,0.0,23.8,70.0,0.12,5.3,0.0,free_float,0.0,23.8,68.7,0.12,5.3,0.0,free_float,0.0,23.8,69.8,0.12,5.3,0.0,free_float,0.0,23.9,69.4,0.15,5.5,0.0,free_float,0.0
150,6,7,19.2,72.9,0.0,0.08,0.6,2.16,2.84,350,994.0,24.0,70.0,0.17,5.6,0.08,cooling,0.1,23.9,70.0,0.14,5.4,0.0,free_float,0.1,23.9,69.1,0.14,5.4,0.0,free_float,0.1,23.9,70.0,0.14,5.4,0.0,free_float,0.1,24.0,70.0,0.17,5.6,0.0,free_float,0.1
151,7,7,18.3,69.5,162.1,1.74,3.0,3.24,7.98,420,3351.6,23.9,68.3,0.14,5.4,0.396,cooling,0.5,23.6,68.3,0.06,5.1,0.299,cooling,0.5,24.1,69.7,0.2,5.8,0.384,cooling,0.5,23.7,70.0,0.08,5.1,0.15,cooling,0.5,23.9,70.0,0.15,5.5,0.511,cooling,0.5
152,8,7,22.7,68.7,254.9,3.629,5.4,5.832,14.861,480,7133.3,23.6,67.5,0.04,5.0,0.754,cooling,0.9,23.9,69.9,0.16,5.5,0.346,cooling,0.9,23.9,69.9,0.15,5.5,1.237,cooling,0.9,24.0,70.0,0.17,5.6,0.29,cooling,0.9,24.2,70.0,0.26,6.4,1.002,cooling,0.9
153,9,7,21.4,67.7,479.9,4.781,6.0,6.48,17.261,500,8630.5,23.9,67.9,0.14,5.4,0.471,cooling,1.0,23.8,69.3,0.11,5.3,0.656,cooling,1.0,24.0,69.0,0.18,5.7,1.273,cooling,1.0,24.0,67.4,0.17,5.6,0.653,cooling,1.0,23.9,69.4,0.15,5.5,1.728,cooling,1.0
154,10,7,24.4,61.6,502.2,4.87,6.0,6.48,17.35,490,8501.5,24.3,66.5,0.27,6.5,0.969,cooling,1.0,24.2,68.8,0.24,6.2,0.493,cooling,1.0,23.9,65.8,0.13,5.4,1.507,cooling,1.0,23.8,65.4,0.11,5.3,0.704,cooling,1.0,24.3,67.6,0.28,6.6,1.197,cooling,1.0
155,11,7,26.0,58.0,630.4,6.716,6.0,6.48,19.196,470,9022.1,24.3,62.3,0.26,6.4,1.611,cooling,1.0,24.2,66.7,0.25,6.3,0.942,cooling,1.0,23.8,63.0,0.11,5.3,1.548,cooling,1.0,23.8,63.0,0.11,5.3,0.52,cooling,1.0,23.9,65.5,0.16,5.5,2.095,cooling,1.0
156,12,7,27.8,66.2,625.7,5.584,4.8,5.184,15.568,450,7005.6,23.9,64.6,0.13,5.4,1.466,cooling,0.8,23.8,64.9,0.1,5.2,0.835,cooling,0.8,24.3,65.9,0.26,6.4,1.259,cooling,0.8,23.9,63.9,0.15,5.5,0.987,cooling,0.8,23.8,65.7,0.11,5.3,1.037,cooling,0.8
157,13,7,27.2,62.1,569.4,5.971,6.0,6.48,18.451,460,8487.5,24.0,63.5,0.17,5.6,1.055,cooling,1.0,23.9,65.7,0.16,5.5,0.541,cooling,1.0,24.1,64.5,0.22,6.0,2.068,cooling,1.0,24.1,63.0,0.22,6.0,1.226,cooling,1.0,24.2,65.0,0.26,6.4,1.082,cooling,1.0
158,14,7,28.1,63.1,636.2,7.195,6.0,6.48,19.675,480,9444.0,23.6,63.6,0.04,5.0,1.239,cooling,1.0,23.8,66.5,0.1,5.2,0.662,cooling,1.0,24.1,63.9,0.2,5.8,1.883,cooling,1.0,24.2,62.0,0.26,6.4,1.456,cooling,1.0,23.8,63.2,0.12,5.3,1.956,cooling,1.0
159,15,7,27.6,62.3,579.6,5.433,6.0,6.48,17.913,500,8956.5,23.8,63.4,0.11,5.3,0.646,cooling,1.0,24.4,64.3,0.32,7.1,0.548,cooling,1.0,23.5,63.1,0.01,5.0,1.808,cooling,1.0,24.2,64.0,0.25,6.3,1.337,cooling,1.0,23.8,63.4,0.1,5.2,1.095,cooling,1.0
160,16,7,27.8,61.7,527.1,4.741,5.4,5.832,15.973,520,8306.0,24.0,63.2,0.19,5.7,0.822,cooling,0.9,24.4,63.2,0.29,6.7,1.115,cooling,0.9,24.1,62.0,0.2,5.8,0.817,cooling,0.9,24.2,63.2,0.24,6.2,1.023,cooling,0.9,23.8,62.9,0.1,5.2,0.964,cooling,0.9
161,17,7,27.9,62.6,405.3,3.741,3.0,3.24,9.981,550,5489.6,23.8,62.4,0.12,5.3,0.696,cooling,0.5,23.9,64.4,0.14,5.4,0.841,cooling,0.5,23.6,65.3,0.04,5.0,1.158,cooling,0.5,24.2,63.2,0.25,6.3,0.63,cooling,0.5,24.0,63.1,0.17,5.6,0.416,cooling,0.5
162,18,7,27.1,64.4,302.7,1.278,1.2,2.16,4.638,530,2458.1,24.0,62.9,0.16,5.5,0.136,cooling,0.2,24.2,66.7,0.25,6.3,0.13,cooling,0.2,24.0,67.0,0.19,5.7,0.094,cooling,0.2,24.0,64.5,0.16,5.5,0.447,cooling,0.2,24.2,63.1,0.25,6.3,0.471,cooling,0.2
163,19,7,25.0,67.7,139.5,1.896,0.6,2.16,4.656,480,2234.9,24.2,64.9,0.24,6.2,0.259,cooling,0.1,24.1,67.5,0.23,6.1,0.37,cooling,0.1,23.9,67.6,0.14,5.4,0.369,cooling,0.1,24.2,66.2,0.23,6.1,0.159,cooling,0.1,24.2,65.2,0.26,6.4,0.739,cooling,0.1
164,20,7,24.5,67.8,0.0,1.778,0.6,2.16,4.538,420,1906.0,24.0,64.1,0.18,5.7,0.461,cooling,0.0,23.7,67.4,0.07,5.1,0.24,cooling,0.0,23.9,67.8,0.15,5.5,0.039,cooling,0.0,24.0,66.7,0.17,5.6,0.346,cooling,0.0,24.1,65.5,0.22,6.0,0.692,cooling,0.0
165,21,7,22.7,70.4,0.0,0.663,0.6,2.16,3.423,380,1300.7,24.0,66.1,0.17,5.6,0.139,cooling,0.0,23.8,68.1,0.12,5.3,0.0,free_float,0.0,24.0,67.9,0.18,5.7,0.0,free_float,0.0,23.8,67.0,0.12,5.3,0.104,cooling,0.0,24.2,66.3,0.24,6.2,0.419,cooling,0.0
166,22,7,21.3,69.3,0.0,0.797,0.6,2.16,3.557,340,1209.4,24.1,65.5,0.22,6.0,0.107,cooling,0.0,23.9,68.3,0.14,5.4,0.0,free_float,0.0,24.0,68.3,0.19,5.7,0.107,cooling,0.0,23.9,66.0,0.14,5.4,0.0,free_float,0.0,24.2,66.3,0.26,6.4,0.583,cooling,0.0
167,23,7,20.3,67.9,0.0,0.858,0.6,2.16,3.618,300,1085.4,24.4,64.9,0.32,7.1,0.225,cooling,0.0,24.0,67.5,0.17,5.6,0.0,free_float,0.0,24.0,67.1,0.19,5.7,0.085,cooling,0.0,24.0,67.4,0.17,5.6,0.0,free_float,0.0,24.2,67.3,0.24,6.2,0.549,cooling,0.0
